,Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,decConf,recConf,decConf2,recConf2,index,deathRate,deathRate1,recoveredRate,recoveredRate1,infecRate,infecRate1
77,16 April 2020,2020-04-16,1061,13432,258,1767,26,449,0.024505183788878417,0.24316682375117812,0.033427635497319835,0.13155151876116736,78,0.024505183788878417,0.033427635497319835,0.24316682375117812,0.13155151876116736,7.688381366991091e-07,9.733302405412284e-06
78,17 April 2020,2020-04-17,922,14354,273,2040,38,487,0.04121475054229935,0.2960954446854664,0.03392782499651665,0.14212066322976175,79,0.04121475054229935,0.03392782499651665,0.2960954446854664,0.14212066322976175,6.681138190731184e-07,1.0401416224485402e-05
79,18 April 2020,2020-04-18,1371,15725,426,2466,35,522,0.025528811086797956,0.31072210065645517,0.03319554848966614,0.15682034976152623,80,0.025528811086797956,0.03319554848966614,0.31072210065645517,0.15682034976152623,9.934751040664267e-07,1.1394891328551829e-05
80,19 April 2020,2020-04-19,1580,17305,388,2854,38,560,0.024050632911392405,0.24556962025316456,0.03236058942502167,0.16492343253394973,81,0.024050632911392405,0.03236058942502167,0.24556962025316456,0.16492343253394973,1.1449238981947148e-06,1.2539815226746543e-05
81,20 April 2020,2020-04-20,1239,18544,419,3273,33,593,0.026634382566585957,0.33817594834543985,0.03197799827437446,0.17649913718723037,82,0.026634382566585957,0.03197799827437446,0.33817594834543985,0.17649913718723037,8.978232340906656e-07,1.343763846083721e-05
82,21 April 2020,2020-04-21,1537,20081,703,3976,53,646,0.034482758620689655,0.45738451528952506,0.032169712663711963,0.19799810766396095,83,0.034482758620689655,0.032169712663711963,0.45738451528952506,0.19799810766396095,1.1137645769147321e-06,1.455140303775194e-05
83,22 April 2020,2020-04-22,1292,21373,394,4370,36,682,0.02786377708978328,0.30495356037151705,0.0319094184251158,0.20446357553923175,84,0.02786377708978328,0.0319094184251158,0.30495356037151705,0.20446357553923175,9.362289091566908e-07,1.5487631946908634e-05
84,23 April 2020,2020-04-23,1667,23040,642,5012,40,722,0.02399520095980804,0.385122975404919,0.031336805555555555,0.21753472222222223,85,0.02399520095980804,0.031336805555555555,0.385122975404919,0.21753472222222223,1.2079671761332845e-06,1.6695599123041917e-05
85,24 April 2020,2020-04-24,1408,24448,484,5496,59,781,0.04190340909090909,0.34375,0.03194535340314136,0.22480366492146597,86,0.04190340909090909,0.03194535340314136,0.34375,0.22480366492146597,1.0202866130747837e-06,1.77158857361167e-05
86,25 April 2020,2020-04-25,1835,26283,442,5938,44,825,0.023978201634877384,0.24087193460490464,0.03138911083209679,0.2259255031769585,87,0.023978201634877384,0.03138911083209679,0.24087193460490464,0.2259255031769585,1.3297059197387986e-06,1.90455916558555e-05
87,26 April 2020,2020-04-26,1607,27890,585,6523,56,881,0.03484754200373367,0.3640323584318606,0.03158838293295088,0.23388311222660452,88,0.03484754200373367,0.03158838293295088,0.3640323584318606,0.23388311222660452,1.1644890534170295e-06,2.021008070927253e-05
88,27 April 2020,2020-04-27,1568,29458,580,7103,58,939,0.036989795918367346,0.36989795918367346,0.03187589109919207,0.24112295471518772,89,0.036989795918367346,0.03187589109919207,0.36989795918367346,0.24112295471518772,1.1362282736514638e-06,2.1346308982923993e-05
89,28 April 2020,2020-04-28,1902,31360,636,7739,69,1008,0.03627760252365931,0.334384858044164,0.03214285714285714,0.24677933673469388,90,0.03627760252365931,0.03214285714285714,0.334384858044164,0.24677933673469388,1.3782564901052832e-06,2.2724565473029277e-05
